Produk;Harga Pokok;Harga Jual;Stok;Grup Produk;Satuan;Barcode;Kode Produk;Non Stok
Hawai;0;4500;0;;12;(90)MD829713001634(91)270323;Hwi Biji;1
Hbl Kris;0;4250;0;;12;8992929652373;Hblkrs Biji;1
Hbl Kris;0;4250;0;;12;8992929652380;Hblkrs Biji;1
Hbl Lovely Kecrot;0;14000;0;;12;8998866105668;Hbllvl Biji;1
Hbl Lovely Kecrot;0;14000;0;;12;8998866106320;Biji;1
Hbl Lovely Kecrot;0;14000;0;;12;8998866105682;Biji;1
Hcl;0;9000;0;;12;;Hcl;1
Hd 1 1/2;0;8500;0;19;4;01790078;Pak;1
Hd 1 kg;36600;58500;0;19;20;01790085;Iket;1
Hd 1 kg;0;6000;0;;4;8997209990725;Pak;1
Hd 1/2;0;4000;0;19;4;8997209990701;Pak;1
Hd 1/2;0;37500;0;19;20;01790191;Iket;1
Hd 1/4;0;2500;0;19;4;01790498;Pak;1
Hd 1/4;14000;23000;0;19;20;01790399;Iket;1
Hd 10kg;0;48000;0;19;4;;Pak;1
Hd 2 kg;0;8000;0;19;4;01790061;Pak;1
Hd 3 kg;0;12000;0;19;4;;Pak;1
Hd 5 kg;24500;26000;0;19;4;01790054;Pak;1
Head Suolders;0;10000;0;;18;4987176081049;Sphns Ret;1
Heboh;16250;17000;0;20;5;;Hbh Bal;1
Hemaviton Action;0;64000;0;5;14;8999908056900;Dos;1
Hemaviton Action;0;6500;0;;17;8999908056405;Rek;1
Hemaviton Botol;0;4250;0;11;12;8999908034205;Biji;1
Hemaviton Btl;0;42500;0;;9;11190059;Slop;1
Herbateen;0;3000;0;;12;;Hrbtn Biji;1
Herocyn;7000;7000;0;;12;;Biji;1
Hitam Manis;0;34000;0;;5;25883336;Htmmns Bal;1
Hitam Manis;0;100000;0;;14;;Htmmns Dos;1
Hitam Manis ;0;3000;0;;12;8997028380486;Htmmns Biji;1
Hongkue;0;1850;0;;12;;Hngkw Biji;1
Hongkue;0;18000;0;;5;68888374;Hngkw Bal;1
Hongkue Ijo;0;18000;0;;;(90)MD831713013634(91)231008;Bal;1
Hongkue Kn;0;18000;0;;5;(90)MD831713015634(91)231012;Bal;1
Hongkue Merah;0;18000;0;;5;(90)MD831713019634(91)231026;Bal;1
Hongkue Putih;0;18000;0;;5;(90)MD829913003634(91)230815;Bal;1
Hot Cream Bsr;0;28500;0;;12;3992021870564;Hticr Biji;1
Hot Cream Bsr Strong;0;28500;0;;12;8997021870564;Biji;1
Hot Cream Kcl;0;17250;0;;12;8997021870571;Hticr Biji;1
Hot Cream Kcl ;0;17250;0;;12;8997021870908;Biji;1
Hot Hot Pop;0;6500;0;;4;8993154150016;Pak;1
Hot Hot Susu;0;4500;0;;18;8993154788998;Ret;1
Hot Hot Susu;49500;50500;0;;14;;Hthts Dus;1
Hot-Hot Ball;103008;104000;0;;14;;Hthtb Dus;1
Hot-Hot Ball ;3437;3600;0;20;18;8993154788677;HBM Ret;1
Hydro Plus;0;4500;0;;12;8997212801322;Biji;1
Indofood 3000;2500;2500;0;;12;;Biji;1
Indomie;0;2950;0;;12;;Indm biji;1
Indomie Aceh;0;2950;0;9;12;089686043204;Indmabiji;1
Indomie Aceh;0;116500;0;;14;11070023;Indmados;1
Indomie Aceh;0;116500;0;;14;10089686043201;Dos;1
Indomie Geprek;2875;2950;0;9;12;089686043433;Indmgprk Biji;1
Indomie Geprek;115000;116500;0;;14;10868485;Indmgprk Dos;1
Indomie Goreng;116000;116500;0;9;14;11070009;Indmgr Dos;1
Indomie Goreng ;2900;3000;0;9;12;089686010947;Indmgr Biji;1
Indomie Kuwah;0;2900;0;;12;;Indm Biji;1
Indomie Rawon;0;2900;0;;12;089686043679;Indmrwn biji;1
Indomie Seblak;0;2900;0;;12;089686043495;Indmsblk Biji;1
Indomilk Botol;0;3600;0;9;12;(90)MD200809030116(91)260401;Indmlkbtl Ibtl Biji;1
Indomilk Botol;0;85000;0;;14;11190004;Indmlkbtl Dos;1
Indomilk Botol;0;3600;0;;12;8992702070226;Biji;1
Indomilk Botol Coklat ;0;3600;0;9;12;8992702005945;Biji;1
Indomilk Botol Pink;0;3600;0;9;12;8992702005976;Biji;1
Indomilk Botol Pink;0;85000;0;9;14;;Dos;1
Indomilk Klng;0;11750;0;9;7;;Indmlkklg Iklg Biji;1
Indomilk Klng Coklat;0;11750;0;9;7;8992702000063;Biji;1
Indomilk Klng Putih ;0;11750;0;9;7;8992702000018;Biji;1
Indomilk Kotak;0;98000;0;;14;11190028;Indmlkktk Dos;1
Indomilk Kotak;0;2650;0;;12;8993007007276;Biji;1
Indomilk Kotak ;0;2500;0;9;12;;Indmlkktk Iktk Biji;1
Indomilk Kotak Coklat;0;107000;0;9;14;18993007000236; Dos;1
Indomilk Kotak Coklat ;0;2650;0;9;12;8993007000239; Biji;1
Indomilk Kotak Pink;0;107000;0;;14;18993007000250;Dos;1
Indomilk Kotak Strw;0;2600;0;9;12;8993007000253; Biji;1
Indomilk Saset;0;147500;0;;14;11190035;Dos;1
Indomilk Saset;0;7750;0;;4;;Pak;1
Indomilk Sst ;0;147500;0;9;14;38992702000958;Dos;1
Indomilk Sst Coklat ;0;7750;0;9;4;8993007001700;Pak;1
Indomilk Sst Putih;0;7750;0;9;4;8993007001694;Pak;1
Indomilk Steril;0;9000;0;;12;8993007004220;;1
Indomilk sst;0;1500;0;;12;;Bj ;1
Indosari Air Mineral;0;12000;0;;14;;Indsr Dos;1
Indosari Mini;0;12000;0;;14;11111177;Indsr Dos;1
Inheler;0;7500;0;;12;;Inhlr Biji;1
Insta Melon;0;229000;0;;9;8991907151051;Instmln Slp;1
Insta Melon;0;22900;0;;4;8991907101056;Instmln pak;1
Insto;0;15000;0;;12;8885015220061;Inst Biji;1
Intermie;53000;53000;0;9;14;11070054;Intrm Dos;1
Intermie;1300;1400;0;;12;089686021219;Intrm Biji;1
Intermie Pedas;0;1400;3;;12;;Intrpds Biji;
Intermie Pedas ;0;54000;0;;14;;Dos;1
Inzana;0;1250;0;;17;8998667100947;Inzn Rek;1
Inzana;0;26000;0;5;14;8998667000919;Inzn Dos;1
Isi Steples;0;12000;0;;9;22000262;Slop;1
Isi Steples;0;1500;0;;12;22000279;Pak;1
Isi Steples Max;0;3500;0;;12;4902870762131;Biji;1
Isi steples;0;12000;0;;9;6945436154276;Slop;1
Isolasi  bening;0;8500;0;;22;68888817;Islsb Roll;1
Isolasi Bening 2000;0;17000;0;;22;68888824;Islsb Roll;1
Isolasi Hitam ;0;9000;0;;22;68888831;Islsh Roll;1
Isolasi Lakban Coklat;0;9000;0;16;12;;Lkbn Biji;1
Isolasi Nachi 1cm;0;5000;0;;12;8997777020213;Isls Biji;1
Isolasi Nachi 2cm;0;9000;0;;12;8997777020237;Islsi Biji;1
Isoplus;0;2500;0;;12;8998866610377;Ispls Biji;1
Isoplus;0;30000;0;;14;11090076;Islpls Slop;1
Jarum Jahit;0;1750;0;16;4;12120307;Jmj;1
Jarum Jahit Piring;0;1200;0;;12;;Jrmjht;1
Jarum Karung;0;1000;0;16;12;;Jmk;1
Jarum Kasur;0;4000;0;16;4;;Jmk;1
Jarum Pentol ;0;3000;0;;16;;Jrmpn box;1
Jas Jus;0;91500;0;6;14;01720006;Dos;1
Jas Jus;0;3250;0;;18;8998866200158;Jsjs Ret;1
Jas Jus;0;15500;0;;4;01730005;Jsjs Pak;1
Jas Jus;0;3250;0;;18;8998866200127;Ret;1
Jas Jus;0;3250;0;;18;8998866200097;Ret;1
Jas Jus;0;3250;0;;18;8998866200875;Ret;1
Jas Jus;0;3250;0;;18;8998866200110;Ret;1
Jas Jus;0;3250;0;;18;8998866203692;Ret;1
Jas Jus;0;3250;0;;18;8998866200134;Ret;1
Jas Jus;0;3250;0;;18;8998866201322;Ret;1
Jas Jus;0;3250;0;;18;8998866201681;Ret;1
Jas Jus;0;3250;0;;18;8998866200592;Ret;1
Jas Jus;0;3250;0;;18;8998866203326;Ret;1
Jas jus;0;3250;0;;18;8998866200103;Ret;1
Jbu 10;0;129000;0;;12;;;1
Jcone Black & Pink;4036;4500;0;;12;8998866820479;JconeBP;1
Jcone Choco Vanilla Rainbow;2422;3000;0;;12;8998866820523;Jconecv;1
Jek Steker;0;2000;0;;12;;Jk;1
Jelly Saripati Toples;0;8500;0;17;23;01660005;Toples;1
Jerigin;0;5000;0;;12;;Jrgn;1
Jovan Bsr;0;61500;0;;7;8992895151108;Jvn Biji;1
Jovan Kcl;0;25500;0;;7;8992895151214;Jvn Biji;1
Jreng;0;8250;0;;4;(90)SD182252131(91)260408;Hmjrg Jrg Pak;1
Jreng;0;80000;0;11;9;22000330;Hmjrg Jrg Slop;1
Jreng;0;8250;0;;4;8999908045805;Hmjrg Jrg Pak;1
Juanda Indosari;0;15000;0;11;14;01111101;Jnd;1
Jussi;0;1400;0;;12;711844164789;Jss Biji;1
Jussi;0;67500;0;;14;;Jss Dos;1
Kacang Goreng ;0;4000;0;;18;68888183;Kcggr Ret;1
Kacang Ijo;0;21000;0;;1;;Kcgij Kg;1
Kacang Open ;0;4000;0;;12;01680003;Opn Biji;1
Kacang Osik;0;33000;0;;1;11040071;Osk Kg;1
Kacang Telur;0;200000;0;;5;;Bal;1
Kacang Telur;0;20500;0;;4;;Pak;1
Kacang Telur 1/2;0;19500;0;;4;;Jjn ktlr Pak;1
Kacang Telur 1/4;0;10000;0;;4;;Jjn ktlr Pak;1
Kakap;0;280000;0;;6;22779953;Kkp Sak;1
Kakitiga Botol Bsr;0;150000;0;;14;18995227500268;Dos;1
Kakitiga Botol Kcl;0;150000;0;;14;18995227500121;Dos;1
Kakitiga Btl Anak;0;3500;0;13;12;8995227501022;Kktgba Biji;1
Kakitiga Btl Bsr;0;6500;0;13;12;8995227500261;Kktgbb Biji;1
Kakitiga Btl Kcl;0;3250;0;13;12;8995227500124;Biji;1
Kakitiga Btl Kcl;0;3250;0;;12;(90)TR042632231(91)200831;biji;1
Kakitiga Kaleng;0;5250;0;;12;8995227500308;Biji;1
Kakitiga Klng Anak;0;5500;0;13;7;8995227500995;Kktgka Biji;1
Kakitiga Klng Anak;0;5500;0;;12;8995227501015;Biji;1
Kakitiga Klng Anak;0;5500;0;;7;8995227501008;Biji;1
Kakitiga Klng Anak;0;128000;0;;14;;Dos;1
Kakitiga Klng Dewasa;0;5500;0;13;7;8995227500278;Kktgk;1
Kakitiga Klng Dewasa;0;5750;0;;12;8995227500247;Biji;1
Kakitiga Klng Dewasa;0;5750;0;;12;8995227500292;Biji;1
Kakitiga Klng Dewasa;0;5750;0;;12;8995227500230;Biji;1
Kakitiga Klng Dewasa;0;5750;0;;12;8995227500254;Biji;1
Kakitiga Klng Dewasa;0;125000;0;;14;18995227500237;Dos;1
Kaldu Jamur;0;9500;0;;12;8997210721097;Kldjmr Ret;1
Kalkulator ;38500;40000;0;;12;;Biji;1
Kalpa;0;21000;0;17;14;8996001354018;Klp Dos;1
Kamper Swallow Isi 3;0;25000;0;;4;8886012895337;Pak;1
Kamper Warna Warni;0;15000;0;;9;8886012895337;Kmprw Slop;1
Kanji Naga;54800;67500;0;;5;48123457;Bal;1
Kanji Naga ;0;14000;0;;1;;Kg;1
Kanji Rose 1/2;100000;116000;0;3;5;11030041;Bal;1
Kanji Rose 1/2;5000;7000;0;;4;8993093664605;Pak;1
Kanji Rose 25 kg;0;310000;0;;6;11020042;Sak;1
Kanji Suji 25 kg;0;310000;0;3;6;11020059;Sak;1
Kanji ½;0;4500;0;;1;8991906151731;Knj 1/2;1
Kapal Api Mini;9250;9500;0;;18;8991002105584;Ret;1
Kapal Api Mini;0;187500;0;;14;11190097;Dos;1
Kapal Mini;0;9500;0;;18;11223252;Ret;1
Kapas;0;16000;0;;5;68888015;Kps Bal;1
Kapri Jaipong;0;115000;0;;5;;Jajankpr Bal;1
Kapri Jaipong;0;14750;0;;4;;Jajankpr Pak;1
Kapsul Royal;0;15500;0;;4;;Jajan pak;1
Kapsul Royal;0;147500;0;;5;;Jajankpsl;1
Kapsul Royal 1/2;0;16000;0;;4;;Jjn kpsl Pak;1
Kapsul Royal 1/4;0;8500;0;;4;;Jjn kpsl Pak;1
Kapsul Rujak;0;160000;0;;5;;Jajankpsl;1
Kapsul Rujak;0;16500;0;;4;;Jajankpsl;1
Kapten;0;8000;0;;4;;Kptn;1
Kapur Ajaib;0;17500;0;16;4;8886020205029;Ajb Pak;1
Kapur Ajaib;0;3500;0;;12;;Kprajb Biji;1
Karamoto;0;11000;0;;12;8997005721745;Krmt Biji;1
Kardus;0;2000;0;;12;;Biji ;1
Karet;0;3000;0;;11;;Krt Ons;1
Karet Ban;0;7500;0;;12;;Krtbn Biji;1
Karet Gelang eceran;0;3500;0;;11;;;1
Karet Piala ;0;13000;0;;4;68888152;Pak;1
Karet Pintil;0;6000;0;;11;;Ons;1
Karet Pintil Jago;0;28500;0;13;4;;Pak;1
Karomah Susu Kambing;0;23000;0;;;8992933831115;Krmhindn Sskmbg Ret;1
Kas Telur;0;6000;0;;12;10885857;Biji;1
Katembet ;0;8000;0;;4;68888077;Ktmbt;1
Katembet Biji;0;1000;0;;12;;Ktmbt Biji;1
Katembet Cussons;0;1500;0;;12;;Ktmbcs Biji;1
Kayu Putih Lang Roll;0;6500;0;;12;8993176818505;Kpl15;1
Kb Andalan;0;16000;0;5;4;http://kbandalan.com/;Pak;1
Kecap 2000;74640;76500;0;6;14;25258752;Dos;1
Kecap 2000;0;1700;0;6;12;8998866608039;Biji;1
Kecap 2000;0;20000;0;6;15;01450002;Lusin;1
Kecap 2000;0;76500;0;;14;18998866608036;Dos;1
Kecap 500;76500;78500;0;6;14;94343557;Dos;1
Kecap 500;4781;5000;0;6;4;8998866609647;Pak;1
Kecap Badak;0;5500;0;12;8;11223382;Biji;1
Kecap Badak;126000;128500;0;12;14;;Dos;1
Kecap Mangga;0;10750;0;12;8;35886556;Biji;1
Kecap Mangga;0;255000;0;;14;;Dos;1
Kecap Sate kecil;0;9000;0;;12;;Biji;1
Kecap Sedap Btl 135ml;7720;8000;0;6;8;8998866608008;Biji;1
Kecap Sedap Btl 275ml;16930;17500;0;6;8;8998866608015;Biji;1
Kecap Sedap Btl 620ml;0;31000;0;6;8;8998866608824;Biji;1
Kecap Sedap Ijo 520ml;0;22500;0;;12;8998866202268;Biji;1
Kecap Sedap Rfl 292 ml;7600;8000;0;6;12;8998866608046;Biji;1
Kecap Sedap Rfl 550ml;0;19500;0;6;12;;Biji;1
Kecap sate 140ml;8000;8000;0;;12;;Biji ;1
Kecap sate 275ml;15000;15000;0;;12;8997218520043;Biji;1
Kecap sate 600 gram;21000;21000;0;;12;8997218520036;Biji;1
Keciput 1/2;0;17500;0;;4;;Jjn kcpt Pak;1
Keciput 1/4;0;9000;0;;4;;Jjn kcpt Pak;1
Keciput Bulat;0;17500;0;;4;;Jajan;1
Keciput Bulat;0;167500;0;;5;;Jajan Bal;1
Keciput Panjang;0;165000;0;;5;;Jajan Bal;1
Keciput Panjang;0;17500;0;;4;;Jajankcpt;1
Keju MEG;0;8000;0;;12;8994023001163;;1
Keju Prochiz;11750;12500;0;;12;8997014450216;Kjprcs Biji;1
Kelly;0;61000;0;13;14;;Klly Dos;1
Kelly;0;5750;0;13;12;8994324300736;Klly Biji;1
Kemiri ;0;58000;0;12;1;11040095;Kmr Kg;1
Kemiri ;0;6000;0;;11;11050056;Kmr Ons;1
Kemiri Bubuk;0;5000;0;;18;8997210721165;Kmr Ret;1
Kemiri Renteng ;0;4000;0;;18;11050087;Kmr Ret;1
Kemucing;3500;4000;0;;12;;Biji;1
Kertas;0;18500;0;;5;;;1
Kertas Kado;0;850;0;16;12;68888046;Biji;1
Kertas Kado;0;850;0;;12;8995757044044;Krtskd Biji;1
Kertas Layangan ;0;1100;0;16;12;68888060;Krtsly Biji;1
Kertas Nasi 100;0;12500;0;12;5;8991906151748;Krtsns1 Bal;1
Kertas Nasi 250;0;34000;0;12;5;8991906151755;Krtsns2 Bal;1
Kertas Nasi 60;0;6500;0;12;5;01790801;Krtsns6 Bal;1
Kertas Nasi isi 200;0;18500;0;;5;;;1
Kertas nasi ;0;1500;0;;22;;Roll;1
Kerupuk;0;0;0;;1;12120178;Krpk Kg;1
Kerupuk;0;0;0;;5;;Bal;1
Kerupuk 2 Putra;0;145000;0;12;5;12120208;Krpk2p Bal;1
Kerupuk 2 Putra;0;29000;0;;1;12120215;Krpk2p Kg;1
Kerupuk Berlian;0;85000;0;;5;;;1
Kerupuk Cap;0;80000;0;12;5;12120062;Krpkcp Ball;1
Kerupuk Cap;0;17000;0;;1;12120253;Krpkcp Kg;1
Kerupuk Efendy;0;4750;0;;4;8997026840067;Krpkef pak;1
Kerupuk Efendy;0;92500;0;;5;;Krpkef Bal;1
Kerupuk Fina;0;90000;0;12;5;12120086;Krpkfn Bal;1
Kerupuk Ikan 2000;0;52500;0;17;5;12120185;Krpkikn Bal;1
Kerupuk Ikan 2000;0;1750;0;;12;12120192;Krpkikn Biji;1
Kerupuk Impala;0;70000;0;;5;;Krpkimpl Bal;1
Kerupuk Impala;0;15000;0;;1;;Krpkimpl Kg;1
Kerupuk Intan;0;19000;0;12;1;12120260;Krpkintn Kg;1
Kerupuk Intanku;0;85000;0;12;5;12120055;Krpkintn Bal;1
Kerupuk Kancing Nuri;0;90000;0;12;5;12120048;Krpkkncng Bal;1
Kerupuk Kancing Nuri ;0;19000;0;;1;12120246;Krpkkncg Kg;1
Kerupuk Krucil;0;90000;0;12;5;;Krpkkrcl Bal;1
Kerupuk Marimar;0;85000;0;12;5;12120079;Krpkmrmr Bal;1
Kerupuk Marimar;0;18000;0;;1;;;1
Kerupuk Mawar;0;20000;0;12;1;12120222;Krpkmwr Kg;1
Kerupuk Mawar Besar;0;95000;0;;5;12120338;Krpkmwr Bal;1
Kerupuk Mawar Duyung;0;94000;0;;5;;Krpkdyg Bal;1
Kerupuk Mawar Kecil;0;95000;0;12;5;12120024;Krpkmwr Bal;1
Kerupuk Mawar Mini;0;20000;0;;1;12120239;Krpkmwr Kg;1
Kerupuk Mini Kera;0;97000;0;12;5;12120031;Krpkmnkr Bal;1
Kerupuk Oval;0;21000;0;12;1;;Krpkovl Kg;1
Kerupuk Oval;0;96000;0;;5;77777775;Krpkovl Bal;1
Kerupuk Oval;86500;95000;0;12;5;12120000;Krpkovl Bal;1
Kerupuk Oval Duyung;0;94000;0;12;5;;Krpkdyg Bal;1
Kerupuk Pedas 1/2;0;10400;0;;12;12120277;Krpkpds Biji;1
Kerupuk Pedas 1/4;0;5250;0;;4;12120284;Krpkpds Biji;1
Kerupuk Pedas Kelinci;0;100000;0;12;5;12120109;Krpkpds Bal;1
Kerupuk Pedas Kelinci;0;5250;0;;12;8994453880048;Krpkpds Biji;1
Kerupuk Pedas Panda;100000;102000;0;12;5;12120093;Krpkpds Bal;1
Kerupuk Pedas Panda;0;10400;0;;12;8997215890040;Krpkpds Biji;1
Kerupuk Pentol;0;19000;0;12;1;12120291;Krpkpntl Kg;1
Kerupuk Pentol;0;90000;0;;5;12120116;Krpkpntl Bal;1
Kerupuk Pentol Kemasan 1/4;0;4750;0;;12;12120161;Krpkpntl Kmsn;1
Kerupuk Pentol Kemasan ½;0;9500;0;;12;;Krpkpntl Kmsn Biji;1
Kerupuk Salsa;0;92500;0;12;5;;Krpksls Bal;1
Kerupuk Seblak;0;6000;0;17;4;38888847;Krpksblk Pak;1
Kerupuk mawar duyung ;0;20000;0;;1;;Kg;1
Ketan Hitam;0;21000;0;;1;11010067;Ktnhtm Kg;1
Ketan Item;0;26000;0;;1;;;1
Ketumbar 500;0;5000;0;;18;8997231660030;Ktmbr5 Ret;1
Ketumbar Bubuk;0;5000;0;12;18;8997210720038;Ktmbr Ret;1
Ketumbar Indofood;0;8500;0;9;18;089686389029;Ktmbr Ret;1
Ketumbar Los ;0;25000;0;12;1;11050018;Ktmbr Kg;1
Ketumbar Los ;0;3000;0;;11;11050049;Ktmbr Ons;1
Ketumbar Renteng ;0;4000;0;12;18;11050070;Ktmbr Ret;1
Kiko;0;6500;0;;4;8997878002088;Kk Pak;1
Kiko;0;112000;0;;14;8997241040020;Kk Dos;1
Kincu Alco;0;18500;0;;4;;Alc Pak;1
Kincu Rw Bsr;0;40000;0;;14;;Kncrwb Dos;1
Kincu Rw Bsr;0;3400;0;;12;;Biji;1
Kincu Rw Bsr;0;3400;0;;12;8994326101058;Biji;1
Kincu Rw Bsr;0;3400;0;;12;8994326101324;Kncrwb Biji;1
Kincu Rw Bsr;0;3400;0;;12;8994326101416;Biji;1
Kincu Rw Bsr;0;3400;0;;12;8994326101263;Biji ;1
Kincu Rw Bsr;0;3400;0;;12;8994326101201;Biji;1
Kincu Rw Kcl;20000;22000;0;;14;;Kncrwk Dos;1
Kincu Rw Kcl;0;1900;0;;12;;Kncrwk Biji;1
Kincu Rw Kcl;0;1875;0;;12;8994326101041;Biji;1
Kincu Rw Kcl;0;1875;0;;12;8994326101102;Biji;1
Kincu Rw Kcl;0;1875;0;;12;8994326101409;Biji;1
Kincu Rw Kcl;0;1875;0;;12;8994326101256;Biji;1
Kincu Rw Kcl;0;1875;0;;12;8994326101522;Biji;1
Kincu Rw Kcl;0;1857;0;;12;8994326101133;Biji;1
Kincu Rw Kcl;0;1875;0;;12;8994326101317;Biji;1
Kingkong;0;5000;0;;12;8993188111120;Kngk Pak;1
Kings;0;22000;0;;4;8991906101545;Kng Pak;1
Kings;0;219000;0;;9;8991906151540;Kng Slop;1
Kiriko;0;4500;0;;12;8886012808108;Krk Biji;1
Kis;0;6500;0;;4;8996001321522;Kis Pak;1
Kiss;0;6500;0;;4;8996001321539;Pak;1
Kiss;0;6500;0;;4;8996001321515;Kis Pak;1
Kiss;0;6500;0;;4;8996001321508;Kis Pak;1
Kleo;0;19000;0;;5;;Bal;1
Kodomo Pasta;0;5000;0;8;12;8998866100229;Kdmpst Biji;1
Kodomo Pasta;0;5000;0;;12;8998866100250;Kdmpst Biji;1
Kodomo Tisu Basah;0;8000;0;;12;8998866107112;Biji;1
Kokola 500;4166;4400;0;20;18;;Kkl5 Ret;1
Kokola Malkist;105012;106000;0;;14;;Kklm Dus;1
Kokola Super Cream;35000;38000;0;;5;25899993;Kklsprcrm Bal;1
Kokola Super Cream;107000;112000;0;;14;01020700001113;Bal;1
Kokola Super Cream;0;5500;0;;12;8998389112273;Kklsprcrm Biji;1
Kokola Super Cream;0;5500;0;;12;8998389112211;Biji;1
Komex;0;45000;0;;14;;Kmx Dos;1
Komex;0;1500;0;;12;8993058300807;Kmx Biji;1
Komex;0;1500;0;;12;8993058300500;Biji;1
Komex;0;1500;0;;12;8993058301200;Biji;1
Komex;0;45000;0;;14;8993058301224;Dos;1
Komex;0;1500;0;;12;8993058300401;Biji;1
Komex Jahe;0;45000;0;;14;8993058300524;Dos;1
Komex Jeruk;0;45000;0;;14;8993058300821;Dos;1
Komex Kid Obh;0;10500;0;;14;8993058303013;Kmx Dos;1
Komex Kid strw;0;10500;0;;4;8993058303211;Dos;1
Komex Peppermint;0;45000;0;5;14;8993058300425;Dos;1
Konidin;0;2500;0;;17;8998667100084;Kndn;1
Konidin;0;117500;0;;14;;Dos;1
Konjac;0;1850;0;;12;8992705143217;Knjc Biji;1
Konjac;0;21500;0;;14;8992705145211;Knjc Dos;1
Konjak;0;1800;0;;12;;Knjk Biji;1
Konjak ;0;22000;0;;14;;Knjk Dos;1
Konjak Coklat;0;2500;0;;12;;Knjk;1
Koolvefer Biru;72816;74000;0;15;14;4987072019801;Klvfr Dos;1
Koolvefer Biru;0;6200;0;15;12;4987072061817;Klvfr Biji;1
Koolvefer Pink;0;60000;0;15;14;4987072171943;Klvfr Dos;1
Koolvefer Pink ;0;5000;0;15;12;4987072022306;Klfvr Biji;1
Kopi Gajah;0;14500;0;;12;8991998111767;Kpgjh Biji;1
Kopi Gajah 500;0;14000;0;;4;8991998111514;Kpgj Ret;1
Kopi Jahe Sd;0;16000;0;;18;8998898847109;Kpjh Ret;1
Kopi Jahe Sido M;0;17000;0;;18;8998898847109;Kpjh Ret;1
Kopi Jalak;0;7000;0;;12;8997019840043;Kpjlk Biji;1
Kopi Nangka;0;75000;0;;1;11040088;Kpngk Kg;1
Kopi Susu;0;20000;0;;14;;;1
Kopi nongkrong ;20000;20000;0;;14;;Dos;1
Kopikap;0;21000;0;;14;18996001600181;Dos;1
Kopiko;0;9500;0;;4;8996001330722;Kpk Pak;1
Koran;0;15000;0;;1;28888864;Krn Kg;1
Korek 1000;0;900;0;;12;34356050;Krk1 Biji;1
Korek 1000;0;40000;0;;14;85254657;Krk1 Dos;1
Korek 2000;0;1250;0;;12;25838282;Krk2 Biji;1
Korek 2000;0;50000;0;;14;28382720;Krk2 Dos;1
Korek Kayu;29000;31000;0;16;10;;Krkk Slop;1
Korek Kayu;0;3500;0;;4;68888589;Krkk Pak;1
Korek Magnet;0;55000;0;;14;;Krkmgnt Dos;1
Korek Mahnet;0;1500;0;;12;;Krkmhnt biji;1
Koro Jaipong;0;125000;0;;5;;Jajankrjp;1
Koro Jaipong;0;16500;0;;4;;Jajankr Pak;1
Koyo Cabe;0;11000;0;;4;8993338005033;Kycb Pak;1
Kp Lang 15;5495;6500;0;15;12;8993176110098;Kp15 Biji;1
Kp Lang 30;9990;11750;0;15;12;8993176110081;Kp30 Biji;1
Kp Lang 60;0;21500;0;;12;8993176110074;Kp60 Biji;1
Kratingdaeng;0;48000;0;;9;11190042;Krtgdg Slop;1
Kratingdaeng;0;4850;0;;12;8886057883665;Krtgdg Biji;1
Kratingdaeng;0;235000;0;;14;;Krtgdg Dos;1
Kremer Sst;0;7000;0;9;4;8993007004152;Pak;1
Kresek;0;1000;0;;12;;Biji;1
Kresek Berkat ;0;14000;0;19;4;01790924;Krskbrkt Pak;1
Kresek Berkat Bego;0;14000;0;;4;;Krskbrkt Pak;1
Kresek Berkat Manggis;0;10000;0;19;4;;Krskbrkt Pak;1
Kresek Hitam;0;18500;0;19;1;8991906151984;Krskhtm Kg;1
Kresek Hitam Tg;0;18500;0;19;1;;Krskhtm Kg;1
Kresek Lorek;0;36000;0;19;20;01790931;Krsklrk Iket;1
Kresek Lorek;0;735000;0;;6;;Sak;1
Kresek Lorek ;0;3750;0;;4;01790948;Krsklrk Pak;1
Kresek Merah Bagus;0;28500;0;19;4;01790900;Krskmrh Pak;1
Kresek Merah Manggis;12000;18000;0;19;4;;Krskmrh Pak;1
Kresek Merah Menara;0;45000;0;;4;;Krskmrh Pak;1
Kresek Obor Pth;0;6500;0;19;4;;Krskobr Pak;1
Kresek Putih;0;38500;0;19;1;8991906151977;Krskpth Kg;1
Kresek Putih Kcl;0;38500;0;19;1;;Krskpth Kg;1
Kresek Putih Tg;0;38500;0;19;1;;Krskpth Kg;1
Kresek Tomat Bego;0;21000;0;;4;;Krsktmt Pak;1
Kresek Tomat Manggis;0;21000;0;19;4;01790917;Krsktmt Pak;1
Kresek Warna;0;25000;0;;1;8991906151991;Krskwrn Kg;1
Kresek Warna Kcl;0;25000;0;19;1;;Krskwrn Kg;1
Kresek Warna Tg;0;25000;0;19;1;;Krskwrn Kg;1
Kricik;0;4250;0;;12;01670004;Krck;1
Kricik Bucell;0;4000;0;17;12;;Krck;1
Kris Hbl;0;50000;0;;15;;Lusin;1
Kris Hbl;0;4250;0;;12;8992929652397;Biji;1
Kris Hbl Merah;0;4250;0;13;12;8992929652403;Krshbl Biji;1
Kris Hbl smooth;0;4250;0;;12;6997919652397;Biji;1
Kriuk 2000;0;2000;0;;12;;Biji;1
Kriuk 3000;3000;3000;0;;12;;Biji;1
Kukis Kokola;0;136000;0;;14;01020700001092;Kklkks Dos ;1
Kukis Kokola;0;35000;0;;5;25881110;Kklkks Bal;1
